Frequency [Hz], Omega_GW(f)
1.000000000000000062e-09,2.060751758303442027e-12
1.373823795883260943e-09,2.556464360362490059e-12
1.887391822135099442e-09,3.149723811997839382e-12
2.592943797404666972e-09,3.907556371377216186e-12
3.562247890262436788e-09,4.788245803041284535e-12
4.893900918477499005e-09,5.932104794940611258e-12
6.723357536499335288e-09,7.363673480075859181e-12
9.236708571873845829e-09,9.147297450094057212e-12
1.268961003167923363e-08,1.134028509394963218e-11
1.743328822199987148e-08,1.388411129250113260e-11
2.395026619987485903e-08,1.718304661316980106e-11
3.290344562312670929e-08,2.119341999252912118e-11
4.520353656360240547e-08,2.624177731798562368e-11
6.210169418915616604e-08,3.248571063548312857e-11
8.531678524172813841e-08,3.998764703563043759e-11
1.172102297533479391e-07,4.965396879509171828e-11
1.610262027560939220e-07,6.127921375847594597e-11
2.212216291070450309e-07,7.675537206005666549e-11
3.039195382313194595e-07,1.020741344794824133e-10
4.175318936560400327e-07,1.424566818487646323e-10
5.736152510448681315e-07,1.496967653343162608e-10
7.880462815669903832e-07,1.259759983853700744e-10
1.082636733874054112e-06,1.013828594654781238e-10
1.487352107293511694e-06,8.286692643154550538e-11
2.043359717856939508e-06,6.804603150277364025e-11
2.807216203941175581e-06,5.607008529866700567e-11
3.856620421163472189e-06,4.792455053197083530e-11
5.298316906283701694e-06,4.051455492144633766e-11
7.278953843983146548e-06,3.506244628338381536e-11
9.999999999999999124e-06,3.098062267101960452e-11
